epoch,learning rate,training loss,validation loss,fraction valid,fraction matching
0,9e-05,38.21925735473633,25.514293670654297,0.41796875,0.6635514018691588
1,8.1e-05,24.46002197265625,21.780485153198242,0.765625,0.826530612244898
2,7.290000000000001e-05,22.036184310913086,20.349788665771484,0.7734375,0.9444444444444444
3,6.561000000000002e-05,20.797584533691406,19.520288467407227,0.86328125,0.9321266968325792
4,5.904900000000002e-05,19.991308212280273,18.91341781616211,0.85546875,0.908675799086758
5,5.314410000000002e-05,19.399932861328125,18.590404510498047,0.8359375,0.8925233644859814
6,4.782969000000002e-05,18.905855178833008,18.16897201538086,0.8515625,0.9220183486238532
7,4.304672100000002e-05,18.500024795532227,17.765199661254883,0.83984375,0.8976744186046511
8,3.874204890000002e-05,18.155961990356445,17.379087448120117,0.83984375,0.9255813953488372
9,3.4867844010000016e-05,17.884355545043945,17.29176902770996,0.75,0.9270833333333334
10,3.138105960900002e-05,17.65778350830078,17.204410552978516,0.8125,0.875
11,2.8242953648100018e-05,17.464597702026367,16.880155563354492,0.8046875,0.8980582524271845
12,2.5418658283290016e-05,17.30052947998047,16.729753494262695,0.78125,0.895
13,2.2876792454961016e-05,17.162626266479492,16.587047576904297,0.77734375,0.8994974874371859
14,2.0589113209464913e-05,17.043241500854492,16.563804626464844,0.73828125,0.8835978835978836
15,1.8530201888518422e-05,16.932687759399414,16.57016372680664,0.62890625,0.8944099378881988
16,1.667718169966658e-05,16.841773986816406,16.39889907836914,0.66796875,0.9122807017543859
17,1.5009463529699922e-05,16.753849029541016,16.361955642700195,0.609375,0.7948717948717948
18,1.350851717672993e-05,16.685474395751953,16.381120681762695,0.59765625,0.869281045751634
19,1.2157665459056937e-05,16.61710548400879,16.537023544311523,0.6484375,0.7951807228915663
