structure,R1,R2,R3,R4
TS-1,12,23,34,45
TS-10,12,23,34,35
TS-100,12,23,27,31
TS-1000,12,13,14,15
TS-101,12,23,27,31
TS-102,12,23,27,31
TS-103,12,23,27,31
TS-104,12,23,27,31
TS-105,12,23,27,28
TS-106,12,23,27,28
TS-107,12,23,27,28
TS-108,12,23,27,28
TS-109,12,23,27,28
TS-11,12,23,34,35
TS-110,12,23,27,28
TS-111,12,23,27,28
TS-112,12,23,27,28
TS-113,12,23,27,28
TS-114,12,23,27,28
TS-115,12,23,27,28
TS-116,12,23,27,28
TS-117,12,23,27,28
TS-118,12,23,27,28
TS-119,12,23,27,28
TS-12,12,23,34,35
TS-120,12,23,27,28
TS-121,12,23,24,35
TS-122,12,23,24,35
TS-123,12,23,24,35
TS-124,12,23,24,35
TS-125,12,23,24,35
TS-126,12,23,24,35
TS-127,12,23,24,35
TS-128,12,23,24,35
TS-129,12,23,24,25
TS-13,12,23,34,35
TS-130,12,23,24,25
TS-131,12,23,24,25
TS-132,12,23,24,25
TS-133,12,23,24,25
TS-134,12,23,24,25
TS-135,12,23,24,25
TS-136,12,23,24,25
TS-137,12,23,24,28
TS-138,12,23,24,28
TS-139,12,23,24,28
TS-14,12,23,34,35
TS-140,12,23,24,28
TS-141,12,23,24,28
TS-142,12,23,24,28
TS-143,12,23,24,28
TS-144,12,23,24,28
TS-145,12,23,24,25
TS-146,12,23,24,25
TS-147,12,23,24,25
TS-148,12,23,24,25
TS-149,12,23,24,25
TS-15,12,23,34,35
TS-150,12,23,24,25
TS-151,12,23,24,25
TS-152,12,23,24,25
TS-153,12,23,24,25
TS-154,12,23,24,25
TS-155,12,23,24,25
TS-156,12,23,24,25
TS-157,12,23,24,25
TS-158,12,23,24,25
TS-159,12,23,24,25
TS-16,12,23,34,35
TS-160,12,23,24,25
TS-161,12,23,24,35
TS-162,12,23,24,35
TS-163,12,23,24,35
TS-164,12,23,24,35
TS-165,12,23,24,35
TS-166,12,23,24,35
TS-167,12,23,24,35
TS-168,12,23,24,35
TS-169,12,23,24,25
TS-17,12,23,34,38
TS-170,12,23,24,25
TS-171,12,23,24,25
TS-172,12,23,24,25
TS-173,12,23,24,25
TS-174,12,23,24,25
TS-175,12,23,24,25
TS-176,12,23,24,25
TS-177,12,23,24,28
TS-178,12,23,24,28
TS-179,12,23,24,28
TS-18,12,23,34,38
TS-180,12,23,24,28
TS-181,12,23,24,28
TS-182,12,23,24,28
TS-183,12,23,24,28
TS-184,12,23,24,28
TS-185,12,23,24,25
TS-186,12,23,24,25
TS-187,12,23,24,25
TS-188,12,23,24,25
TS-189,12,23,24,25
TS-19,12,23,34,38
TS-190,12,23,24,25
TS-191,12,23,24,25
TS-192,12,23,24,25
TS-193,12,23,24,25
TS-194,12,23,24,25
TS-195,12,23,24,25
TS-196,12,23,24,25
TS-197,12,23,24,25
TS-198,12,23,24,25
TS-199,12,23,24,25
TS-2,12,23,34,45
TS-20,12,23,34,38
TS-200,12,23,24,25
TS-201,12,13,24,35
TS-202,12,13,24,35
TS-203,12,13,24,35
TS-204,12,13,24,35
TS-205,12,13,24,35
TS-206,12,13,24,35
TS-207,12,13,24,35
TS-208,12,13,24,35
TS-209,12,13,24,25
TS-21,12,23,34,38
TS-210,12,13,24,25
TS-211,12,13,24,25
TS-212,12,13,24,25
TS-213,12,13,24,25
TS-214,12,13,24,25
TS-215,12,13,24,25
TS-216,12,13,24,25
TS-217,12,13,24,28
TS-218,12,13,24,28
TS-219,12,13,24,28
TS-22,12,23,34,38
TS-220,12,13,24,28
TS-221,12,13,24,28
TS-222,12,13,24,28
TS-223,12,13,24,28
TS-224,12,13,24,28
TS-225,12,13,24,25
TS-226,12,13,24,25
TS-227,12,13,24,25
TS-228,12,13,24,25
TS-229,12,13,24,25
TS-23,12,23,34,38
TS-230,12,13,24,25
TS-231,12,13,24,25
TS-232,12,13,24,25
TS-233,12,13,24,25
TS-234,12,13,24,25
TS-235,12,13,24,25
TS-236,12,13,24,25
TS-237,12,13,24,25
TS-238,12,13,24,25
TS-239,12,13,24,25
TS-24,12,23,34,38
TS-240,12,13,24,25
TS-241,12,13,14,25
TS-242,12,13,14,25
TS-243,12,13,14,25
TS-244,12,13,14,25
TS-245,12,13,14,25
TS-246,12,13,14,25
TS-247,12,13,14,25
TS-248,12,13,14,25
TS-249,12,13,14,15
TS-25,12,23,34,35
TS-250,12,13,14,15
TS-251,12,13,14,15
TS-252,12,13,14,15
TS-253,12,13,14,15
TS-254,12,13,14,15
TS-255,12,13,14,15
TS-256,12,13,14,15
TS-257,12,13,14,18
TS-258,12,13,14,18
TS-259,12,13,14,18
TS-26,12,23,34,35
TS-260,12,13,14,18
TS-261,12,13,14,18
TS-262,12,13,14,18
TS-263,12,13,14,18
TS-264,12,13,14,18
TS-265,12,13,14,15
TS-266,12,13,14,15
TS-267,12,13,14,15
TS-268,12,13,14,15
TS-269,12,13,14,15
TS-27,12,23,34,35
TS-270,12,13,14,15
TS-271,12,13,14,15
TS-272,12,13,14,15
TS-273,12,13,14,15
TS-274,12,13,14,15
TS-275,12,13,14,15
TS-276,12,13,14,15
TS-277,12,13,14,15
TS-278,12,13,14,15
TS-279,12,13,14,15
TS-28,12,23,34,35
TS-280,12,13,14,15
TS-281,12,13,17,28
TS-282,12,13,17,28
TS-283,12,13,17,28
TS-284,12,13,17,28
TS-285,12,13,17,28
TS-286,12,13,17,28
TS-287,12,13,17,28
TS-288,12,13,17,28
TS-289,12,13,17,18
TS-29,12,23,34,35
TS-290,12,13,17,18
TS-291,12,13,17,18
TS-292,12,13,17,18
TS-293,12,13,17,18
TS-294,12,13,17,18
TS-295,12,13,17,18
TS-296,12,13,17,18
TS-297,12,13,17,21
TS-298,12,13,17,21
TS-299,12,13,17,21
TS-3,12,23,34,45
TS-30,12,23,34,35
TS-300,12,13,17,21
TS-301,12,13,17,21
TS-302,12,13,17,21
TS-303,12,13,17,21
TS-304,12,13,17,21
TS-305,12,13,17,18
TS-306,12,13,17,18
TS-307,12,13,17,18
TS-308,12,13,17,18
TS-309,12,13,17,18
TS-31,12,23,34,35
TS-310,12,13,17,18
TS-311,12,13,17,18
TS-312,12,13,17,18
TS-313,12,13,17,18
TS-314,12,13,17,18
TS-315,12,13,17,18
TS-316,12,13,17,18
TS-317,12,13,17,18
TS-318,12,13,17,18
TS-319,12,13,17,18
TS-32,12,23,34,35
TS-320,12,13,17,18
TS-321,12,13,14,25
TS-322,13,12,14,25
TS-323,12,13,14,25
TS-324,12,13,14,25
TS-325,12,13,14,25
TS-326,12,13,14,25
TS-327,12,13,14,25
TS-328,13,12,14,25
TS-329,12,13,14,15
TS-33,12,23,34,35
TS-330,13,12,14,15
TS-331,13,12,14,15
TS-332,12,13,14,15
TS-333,13,12,14,15
TS-334,13,12,14,15
TS-335,13,12,14,15
