structure,R1,R2,R3,R4
gs-46,5,6,7,8
gs-460,5,6,7,8
gs-461,5,6,7,8
gs-462,5,6,7,8
gs-463,5,6,7,8
gs-464,5,6,7,8
gs-465,5,6,7,13
gs-466,5,6,7,13
gs-467,5,6,7,13
gs-468,5,6,7,13
gs-469,5,6,7,13
gs-47,5,6,7,8
gs-470,5,6,7,13
gs-471,5,6,7,13
gs-472,5,6,7,13
gs-473,5,6,7,8
gs-474,5,6,7,8
gs-475,5,6,7,8
gs-476,5,6,7,8
gs-477,5,6,7,8
gs-478,5,6,7,8
gs-479,5,6,7,8
gs-48,5,6,7,8
gs-480,5,6,7,8
gs-481,5,6,7,8
gs-482,5,6,7,8
gs-483,5,6,7,8
gs-484,5,6,7,8
gs-485,5,6,7,8
gs-486,5,6,7,8
gs-487,5,6,7,8
gs-488,5,6,7,8
gs-489,5,6,7,8
gs-49,5,6,7,8
gs-490,5,6,7,8
gs-491,5,6,7,8
gs-492,5,6,7,8
gs-493,5,6,7,8
gs-494,5,6,7,8
gs-495,5,6,7,8
gs-496,5,6,7,8
gs-497,5,6,7,8
gs-498,5,6,7,8
gs-499,5,6,7,8
gs-5,5,6,7,8
gs-50,5,6,7,8
gs-500,5,6,7,8
gs-501,5,6,7,8
gs-502,5,6,7,8
gs-503,5,6,7,8
gs-504,5,6,7,8
gs-505,5,6,7,13
gs-506,5,6,7,13
gs-507,5,6,7,13
gs-508,5,6,7,13
gs-509,5,6,7,13
gs-51,5,6,7,8
gs-510,5,6,7,13
gs-511,5,6,7,13
gs-512,5,6,7,13
gs-513,5,6,7,8
gs-514,5,6,7,8
gs-515,5,6,7,8
gs-516,5,6,7,8
gs-517,5,6,7,8
gs-518,5,6,7,8
gs-519,5,6,7,8
gs-52,5,6,7,8
gs-520,5,6,7,8
gs-521,5,6,12,13
gs-522,5,6,12,13
gs-523,5,6,12,13
gs-524,5,6,12,13
gs-525,5,6,12,13
gs-526,5,6,12,13
gs-527,5,6,12,13
gs-528,5,6,12,13
gs-529,5,6,12,13
gs-53,5,6,7,8
gs-530,5,6,12,13
gs-531,5,6,12,13
gs-532,5,6,12,13
gs-533,5,6,12,13
gs-534,5,6,12,13
gs-535,5,6,12,13
gs-536,5,6,12,13
gs-537,5,6,12,13
gs-538,5,6,12,13
gs-539,5,6,12,13
gs-54,5,6,7,8
gs-540,5,6,12,13
gs-541,5,6,12,13
gs-542,5,6,12,13
gs-543,5,6,12,13
gs-544,5,6,12,13
gs-545,5,6,12,18
gs-546,5,6,12,18
gs-547,5,6,12,18
gs-548,5,6,12,18
gs-549,5,6,12,18
gs-55,5,6,7,8
gs-550,5,6,12,18
gs-551,5,6,12,18
gs-552,5,6,12,18
gs-553,5,6,12,13
gs-554,5,6,12,13
gs-555,5,6,12,13
gs-556,5,6,12,13
gs-557,5,6,12,13
gs-558,5,6,12,13
gs-559,5,6,12,13
gs-56,5,6,7,8
gs-560,5,6,12,13
gs-561,5,6,7,8
gs-562,5,6,7,8
gs-563,5,6,7,8
gs-564,5,6,7,8
gs-565,5,6,7,8
gs-566,5,6,7,8
gs-567,5,6,7,8
gs-568,5,6,7,8
gs-569,5,6,7,8
gs-57,5,6,7,8
gs-570,5,6,7,8
gs-571,5,6,7,8
gs-572,5,6,7,8
gs-573,5,6,7,8
gs-574,5,6,7,8
gs-575,5,6,7,8
gs-576,5,6,7,8
gs-577,5,6,7,8
gs-578,5,6,7,8
gs-579,5,6,7,8
gs-58,5,6,7,8
gs-580,5,6,7,8
gs-581,5,6,7,8
gs-582,5,6,7,8
gs-583,5,6,7,8
gs-584,5,6,7,8
gs-585,5,6,7,13
gs-586,5,6,7,13
gs-587,5,6,7,13
gs-588,5,6,7,13
gs-589,5,6,7,13
gs-59,5,6,7,8
gs-590,5,6,7,13
gs-591,5,6,7,13
gs-592,5,6,7,13
gs-593,5,6,7,8
gs-594,5,6,7,8
gs-595,5,6,7,8
gs-596,5,6,7,8
gs-597,5,6,7,8
gs-598,5,6,7,8
gs-599,5,6,7,8
gs-6,5,6,7,8
gs-60,5,6,7,8
gs-600,5,6,7,8
gs-601,5,11,12,13
gs-602,5,11,12,13
gs-603,5,11,12,13
gs-604,5,11,12,13
gs-605,5,11,12,13
gs-606,5,11,12,13
gs-607,5,11,12,13
gs-608,5,11,12,13
gs-609,5,11,12,13
gs-61,5,6,7,8
gs-610,5,11,12,13
gs-611,5,11,12,13
gs-612,5,11,12,13
gs-613,5,11,12,13
gs-614,5,11,12,13
gs-615,5,11,12,13
gs-616,5,11,12,13
gs-617,5,11,12,13
gs-618,5,11,12,13
gs-619,5,11,12,13
gs-62,5,6,7,8
gs-620,5,11,12,13
gs-621,5,11,12,13
gs-622,5,11,12,13
gs-623,5,11,12,13
gs-624,5,11,12,13
gs-625,5,11,12,18
gs-626,5,11,12,18
gs-627,5,11,12,18
gs-628,5,11,12,18
gs-629,5,11,12,18
gs-63,5,6,7,8
gs-630,5,11,12,18
gs-631,5,11,12,18
gs-632,5,11,12,18
gs-633,5,11,12,13
gs-634,5,11,12,13
gs-635,5,11,12,13
gs-636,5,11,12,13
gs-637,5,11,12,13
gs-638,5,11,12,13
gs-639,5,11,12,13
gs-64,5,6,7,8
gs-640,5,11,12,13
gs-641,5,11,12,13
gs-642,5,11,12,13
gs-643,5,11,12,13
gs-644,5,11,12,13
gs-645,5,11,12,13
gs-646,5,11,12,13
gs-647,5,11,12,13
gs-648,5,11,12,13
gs-649,5,11,12,13
gs-65,5,6,7,13
gs-650,5,11,12,13
gs-651,5,11,12,13
gs-652,5,11,12,13
gs-653,5,11,12,13
gs-654,5,11,12,13
gs-655,5,11,12,13
gs-656,5,11,12,13
gs-657,5,11,12,13
gs-658,5,11,12,13
gs-659,5,11,12,13
gs-66,5,6,7,13
gs-660,5,11,12,13
gs-661,5,11,12,13
gs-662,5,11,12,13
gs-663,5,11,12,13
gs-664,5,11,12,13
gs-665,5,11,12,18
gs-666,5,11,12,18
gs-667,5,11,12,18
gs-668,5,11,12,18
gs-669,5,11,12,18
gs-67,5,6,7,13
gs-670,5,11,12,18
gs-671,5,11,12,18
gs-672,5,11,12,18
gs-673,5,11,12,13
gs-674,5,11,12,13
gs-675,5,11,12,13
gs-676,5,11,12,13
gs-677,5,11,12,13
gs-678,5,11,12,13
gs-679,5,11,12,13
gs-68,5,6,7,13
gs-680,5,11,12,13
gs-681,5,11,12,13
gs-682,5,11,12,13
gs-683,5,11,12,13
gs-684,5,11,12,13
gs-685,5,11,12,13
gs-686,5,11,12,13
gs-687,5,11,12,13
gs-688,5,11,12,13
gs-689,5,11,12,13
gs-69,5,6,7,13
gs-690,5,11,12,13
gs-691,5,11,12,13
gs-692,5,11,12,13
gs-693,5,11,12,13
gs-694,5,11,12,13
gs-695,5,11,12,13
gs-696,5,11,12,13
gs-697,5,11,12,13
gs-698,5,11,12,13
gs-699,5,11,12,13
gs-7,5,6,7,8
gs-70,5,6,7,13
gs-700,5,11,12,13
gs-701,5,11,12,13
gs-702,5,11,12,13
gs-703,5,11,12,13
gs-704,5,11,12,13
gs-705,5,11,12,18
gs-706,5,11,12,18
gs-707,5,11,12,18
gs-708,5,11,12,18
gs-709,5,11,12,18
gs-71,5,6,7,13
gs-710,5,11,12,18
gs-711,5,11,12,18
gs-712,5,11,12,18
gs-713,5,11,12,13
gs-714,5,11,12,13
gs-715,5,11,12,13
gs-716,5,11,12,13
gs-717,5,11,12,13
gs-718,5,11,12,13
gs-719,5,11,12,13
gs-72,5,6,7,13
gs-720,5,11,12,13
gs-721,5,11,17,18
gs-722,5,11,17,18
gs-723,5,11,17,18
gs-724,5,11,17,18
gs-725,5,11,17,18
gs-726,5,11,17,18
gs-727,5,11,17,18
gs-728,5,11,17,18
gs-729,5,11,17,18
gs-73,5,6,7,8
gs-730,5,11,17,18
gs-731,5,11,17,18
gs-732,5,11,17,18
gs-733,5,11,17,18
gs-734,5,11,17,18
gs-735,5,11,17,18
gs-736,5,11,17,18
gs-737,5,11,17,18
gs-738,5,11,17,18
gs-739,5,11,17,18
gs-74,5,6,7,8
gs-740,5,11,17,18
gs-741,5,11,17,18
gs-742,5,11,17,18
gs-743,5,11,17,18
gs-744,5,11,17,18
gs-745,5,11,17,23
gs-746,5,11,17,23
gs-747,5,11,17,23
gs-748,5,11,17,23
gs-749,5,11,17,23
gs-75,5,6,7,8
gs-750,5,11,17,23
gs-751,5,11,17,23
gs-752,5,11,17,23
gs-753,5,11,17,18
gs-754,5,11,17,18
gs-755,5,11,17,18
gs-756,5,11,17,18
gs-757,5,11,17,18
gs-758,5,11,17,18
gs-759,5,11,17,18
gs-76,5,6,7,8
gs-760,5,11,17,18
gs-761,5,11,12,13
gs-762,5,11,12,13
gs-763,5,11,12,13
gs-764,5,11,12,13
gs-765,5,11,12,13
gs-766,5,11,12,13
gs-767,5,11,12,13
gs-768,5,11,12,13
gs-769,5,11,12,13
gs-77,5,6,7,8
gs-770,5,11,12,13
gs-771,5,11,12,13
gs-772,5,11,12,13
gs-773,5,11,12,13
gs-774,5,11,12,13
gs-775,5,11,12,13
gs-776,5,11,12,13
gs-777,5,11,12,13
gs-778,5,11,12,13
gs-779,5,11,12,13
gs-78,5,6,7,8
gs-780,5,11,12,13
gs-781,5,11,12,13
gs-782,5,11,12,13
gs-783,5,11,12,13
gs-784,5,11,12,13
gs-785,5,11,12,18
gs-786,5,11,12,18
gs-787,5,11,12,18
gs-788,5,11,12,18
gs-789,5,11,12,18
gs-79,5,6,7,8
gs-790,5,11,12,18
gs-791,5,11,12,18
gs-792,5,11,12,18
gs-793,5,11,12,13
gs-794,5,11,12,13
gs-795,5,11,12,13
gs-796,5,11,12,13
gs-797,5,11,12,13
gs-798,5,11,12,13
gs-799,5,11,12,13
gs-8,5,6,7,8
gs-80,5,6,7,8
gs-800,5,11,12,13
gs-801,5,6,7,8
gs-802,5,6,7,8
gs-803,5,6,7,8
gs-804,5,6,7,8
gs-805,5,6,7,8
gs-806,5,6,7,8
gs-807,5,6,7,8
gs-808,5,6,7,8
gs-809,5,6,7,8
gs-81,5,6,7,8
gs-810,5,6,7,8
gs-811,5,6,7,8
gs-812,5,6,7,8
gs-813,5,6,7,8
gs-814,5,6,7,8
gs-815,5,6,7,8
gs-816,5,6,7,8
gs-817,5,6,7,8
gs-818,5,6,7,8
gs-819,5,6,7,8
gs-82,5,6,7,8
gs-820,5,6,7,8
gs-821,5,6,7,8
gs-822,5,6,7,8
gs-823,5,6,7,8
gs-824,5,6,7,8
gs-825,5,6,7,13
gs-826,5,6,7,13
gs-827,5,6,7,13
gs-828,5,6,7,13
gs-829,5,6,7,13
gs-83,5,6,7,8
gs-830,5,6,7,13
gs-831,5,6,7,13
gs-832,5,6,7,13
gs-833,5,6,7,8
gs-834,5,6,7,8
gs-835,5,6,7,8
gs-836,5,6,7,8
gs-837,5,6,7,8
gs-838,5,6,7,8
gs-839,5,6,7,8
gs-84,5,6,7,8
gs-840,5,6,7,8
gs-841,5,6,7,8
gs-842,5,6,7,8
gs-843,5,6,7,8
gs-844,5,6,7,8
gs-845,5,6,7,8
gs-846,5,6,7,8
gs-847,5,6,7,8
gs-848,5,6,7,8
gs-849,5,6,7,8
gs-85,5,6,7,8
gs-850,5,6,7,8
gs-851,5,6,7,8
gs-852,5,6,7,8
gs-853,5,6,7,8
gs-854,5,6,7,8
gs-855,5,6,7,8
gs-856,5,6,7,8
gs-857,5,6,7,8
gs-858,5,6,7,8
gs-859,5,6,7,8
gs-86,5,6,7,8
gs-860,5,6,7,8
gs-861,5,6,7,8
gs-862,5,6,7,8
gs-863,5,6,7,8
gs-864,5,6,7,8
gs-865,5,6,7,13
gs-866,5,6,7,13
gs-867,5,6,7,13
gs-868,5,6,7,13
gs-869,5,6,7,13
gs-87,5,6,7,8
gs-870,5,6,7,13
gs-871,5,6,7,13
gs-872,5,6,7,13
gs-873,5,6,7,8
gs-874,5,6,7,8
gs-875,5,6,7,8
gs-876,5,6,7,8
gs-877,5,6,7,8
gs-878,5,6,7,8
gs-879,5,6,7,8
gs-88,5,6,7,8
gs-880,5,6,7,8
gs-881,5,6,7,8
gs-882,5,6,7,8
gs-883,5,6,7,8
gs-884,5,6,7,8
gs-885,5,6,7,8
gs-886,5,6,7,8
gs-887,5,6,7,8
gs-888,5,6,7,8
gs-889,5,6,7,8
gs-89,5,6,7,8
gs-890,5,6,7,8
gs-891,5,6,7,8
gs-892,5,6,7,8
gs-893,5,6,7,8
gs-894,5,6,7,8
gs-895,5,6,7,8
gs-896,5,6,7,8
gs-897,5,6,7,8
gs-898,5,6,7,8
gs-899,5,6,7,8
gs-9,5,6,7,8
gs-90,5,6,7,8
gs-900,5,6,7,8
gs-901,5,6,7,8
gs-902,5,6,7,8
gs-903,5,6,7,8
gs-904,5,6,7,8
gs-905,5,6,7,13
gs-906,5,6,7,13
gs-907,5,6,7,13
gs-908,5,6,7,13
gs-909,5,6,7,13
gs-91,5,6,7,8
gs-910,5,6,7,13
gs-911,5,6,7,13
gs-912,5,6,7,13
gs-913,5,6,7,8
gs-914,5,6,7,8
gs-915,5,6,7,8
gs-916,5,6,7,8
gs-917,5,6,7,8
gs-918,5,6,7,8
gs-919,5,6,7,8
gs-92,5,6,7,8
gs-920,5,6,7,8
gs-921,5,6,12,13
gs-922,5,6,12,13
gs-923,5,6,12,13
gs-924,5,6,12,13
gs-925,5,6,12,13
gs-926,5,6,12,13
gs-927,5,6,12,13
gs-928,5,6,12,13
gs-929,5,6,12,13
gs-93,5,6,7,8
gs-930,5,6,12,13
gs-931,5,6,12,13
gs-932,5,6,12,13
gs-933,5,6,12,13
gs-934,5,6,12,13
gs-935,5,6,12,13
gs-936,5,6,12,13
gs-937,5,6,12,13
gs-938,5,6,12,13
gs-939,5,6,12,13
gs-94,5,6,7,8
gs-940,5,6,12,13
gs-941,5,6,12,13
gs-942,5,6,12,13
gs-943,5,6,12,13
gs-944,5,6,12,13
gs-945,5,6,12,18
gs-946,5,6,12,18
gs-947,5,6,12,18
gs-948,5,6,12,18
gs-949,5,6,12,18
gs-95,5,6,7,8
gs-950,5,6,12,18
gs-951,5,6,12,18
gs-952,5,6,12,18
gs-953,5,6,12,13
gs-954,5,6,12,13
gs-955,5,6,12,13
gs-956,5,6,12,13
gs-957,5,6,12,13
gs-958,5,6,12,13
gs-959,5,6,12,13
gs-96,5,6,7,8
gs-960,5,6,12,13
gs-961,5,6,7,8
gs-962,5,6,7,8
gs-963,5,6,7,8
gs-964,5,6,7,8
gs-965,5,6,7,8
gs-966,5,6,7,8
gs-967,5,6,7,8
gs-968,5,6,7,8
gs-969,5,6,7,8
gs-97,5,6,7,8
gs-970,5,6,7,8
gs-971,5,6,7,8
gs-972,5,6,7,8
gs-973,5,6,7,8
gs-974,5,6,7,8
gs-975,5,6,7,8
gs-976,5,6,7,8
gs-977,5,6,7,8
gs-978,5,6,7,8
gs-979,5,6,7,8
gs-98,5,6,7,8
gs-980,5,6,7,8
gs-981,5,6,7,8
gs-982,5,6,7,8
gs-983,5,6,7,8
gs-984,5,6,7,8
gs-985,5,6,7,13
gs-986,5,6,7,13
gs-987,5,6,7,13
gs-988,5,6,7,13
gs-989,5,6,7,13
gs-99,5,6,7,8
gs-990,5,6,7,13
gs-991,5,6,7,13
gs-992,5,6,7,13
gs-993,5,6,7,8
gs-994,5,6,7,8
gs-995,5,6,7,8
gs-996,5,6,7,8
gs-997,5,6,7,8
gs-998,5,6,7,8
gs-999,5,6,7,8
