structure,R1,R2,R3,R4
gs-1,5,6,7,8
gs-10,5,6,7,8
gs-100,5,6,7,8
gs-1000,5,6,7,8
gs-101,5,6,7,8
gs-102,5,6,7,8
gs-103,5,6,7,8
gs-104,5,6,7,8
gs-105,5,6,7,13
gs-106,5,6,7,13
gs-107,5,6,7,13
gs-108,5,6,7,13
gs-109,5,6,7,13
gs-11,5,6,7,8
gs-110,5,6,7,13
gs-111,5,6,7,13
gs-112,5,6,7,13
gs-113,5,6,7,8
gs-114,5,6,7,8
gs-115,5,6,7,8
gs-116,5,6,7,8
gs-117,5,6,7,8
gs-118,5,6,7,8
gs-119,5,6,7,8
gs-12,5,6,7,8
gs-120,5,6,7,8
gs-121,5,6,12,13
gs-122,5,6,12,13
gs-123,5,6,12,13
gs-124,5,6,12,13
gs-125,5,6,12,13
gs-126,5,6,12,13
gs-127,5,6,12,13
gs-128,5,6,12,13
gs-129,5,6,12,13
gs-13,5,6,7,8
gs-130,5,6,12,13
gs-131,5,6,12,13
gs-132,5,6,12,13
gs-133,5,6,12,13
gs-134,5,6,12,13
gs-135,5,6,12,13
gs-136,5,6,12,13
gs-137,5,6,12,13
gs-138,5,6,12,13
gs-139,5,6,12,13
gs-14,5,6,7,8
gs-140,5,6,12,13
gs-141,5,6,12,13
gs-142,5,6,12,13
gs-143,5,6,12,13
gs-144,5,6,12,13
gs-145,5,6,12,18
gs-146,5,6,12,18
gs-147,5,6,12,18
gs-148,5,6,12,18
gs-149,5,6,12,18
gs-15,5,6,7,8
gs-150,5,6,12,18
gs-151,5,6,12,18
gs-152,5,6,12,18
gs-153,5,6,12,13
gs-154,5,6,12,13
gs-155,5,6,12,13
gs-156,5,6,12,13
gs-157,5,6,12,13
gs-158,5,6,12,13
gs-159,5,6,12,13
gs-16,5,6,7,8
gs-160,5,6,12,13
gs-161,5,6,7,8
gs-162,5,6,7,8
gs-163,5,6,7,8
gs-164,5,6,7,8
gs-165,5,6,7,8
gs-166,5,6,7,8
gs-167,5,6,7,8
gs-168,5,6,7,8
gs-169,5,6,7,8
gs-17,5,6,7,8
gs-170,5,6,7,8
gs-171,5,6,7,8
gs-172,5,6,7,8
gs-173,5,6,7,8
gs-174,5,6,7,8
gs-175,5,6,7,8
gs-176,5,6,7,8
gs-177,5,6,7,8
gs-178,5,6,7,8
gs-179,5,6,7,8
gs-18,5,6,7,8
gs-180,5,6,7,8
gs-181,5,6,7,8
gs-182,5,6,7,8
gs-183,5,6,7,8
gs-184,5,6,7,8
gs-185,5,6,7,13
gs-186,5,6,7,13
gs-187,5,6,7,13
gs-188,5,6,7,13
gs-189,5,6,7,13
gs-19,5,6,7,8
gs-190,5,6,7,13
gs-191,5,6,7,13
gs-192,5,6,7,13
gs-193,5,6,7,8
gs-194,5,6,7,8
gs-195,5,6,7,8
gs-196,5,6,7,8
gs-197,5,6,7,8
gs-198,5,6,7,8
gs-199,5,6,7,8
gs-2,5,6,7,8
gs-20,5,6,7,8
gs-200,5,6,7,8
gs-201,5,6,7,8
gs-202,5,6,7,8
gs-203,5,6,7,8
gs-204,5,6,7,8
gs-205,5,6,7,8
gs-206,5,6,7,8
gs-207,5,6,7,8
gs-208,5,6,7,8
gs-209,5,6,7,8
gs-21,5,6,7,8
gs-210,5,6,7,8
gs-211,5,6,7,8
gs-212,5,6,7,8
gs-213,5,6,7,8
gs-214,5,6,7,8
gs-215,5,6,7,8
gs-216,5,6,7,8
gs-217,5,6,7,8
gs-218,5,6,7,8
gs-219,5,6,7,8
gs-22,5,6,7,8
gs-220,5,6,7,8
gs-221,5,6,7,8
gs-222,5,6,7,8
gs-223,5,6,7,8
gs-224,5,6,7,8
gs-225,5,6,7,13
gs-226,5,6,7,13
gs-227,5,6,7,13
gs-228,5,6,7,13
gs-229,5,6,7,13
gs-23,5,6,7,8
gs-230,5,6,7,13
gs-231,5,6,7,13
gs-232,5,6,7,13
gs-233,5,6,7,8
gs-234,5,6,7,8
gs-235,5,6,7,8
gs-236,5,6,7,8
gs-237,5,6,7,8
gs-238,5,6,7,8
gs-239,5,6,7,8
gs-24,5,6,7,8
gs-240,5,6,7,8
gs-241,5,6,7,8
gs-242,5,6,7,8
gs-243,5,6,7,8
gs-244,5,6,7,8
gs-245,5,6,7,8
gs-246,5,6,7,8
gs-247,5,6,7,8
gs-248,5,6,7,8
gs-249,5,6,7,8
gs-25,5,6,7,13
gs-250,5,6,7,8
gs-251,5,6,7,8
gs-252,5,6,7,8
gs-253,5,6,7,8
gs-254,5,6,7,8
gs-255,5,6,7,8
gs-256,5,6,7,8
gs-257,5,6,7,8
gs-258,5,6,7,8
gs-259,5,6,7,8
gs-26,5,6,7,13
gs-260,5,6,7,8
gs-261,5,6,7,8
gs-262,5,6,7,8
gs-263,5,6,7,8
gs-264,5,6,7,8
gs-265,5,6,7,13
gs-266,5,6,7,13
gs-267,5,6,7,13
gs-268,5,6,7,13
gs-269,5,6,7,13
gs-27,5,6,7,13
gs-270,5,6,7,13
gs-271,5,6,7,13
gs-272,5,6,7,13
gs-273,5,6,7,8
gs-274,5,6,7,8
gs-275,5,6,7,8
gs-276,5,6,7,8
gs-277,5,6,7,8
gs-278,5,6,7,8
gs-279,5,6,7,8
gs-28,5,6,7,13
gs-280,5,6,7,8
gs-281,5,6,7,8
gs-282,5,6,7,8
gs-283,5,6,7,8
gs-284,5,6,7,8
gs-285,5,6,7,8
gs-286,5,6,7,8
gs-287,5,6,7,8
gs-288,5,6,7,8
gs-289,5,6,7,8
gs-29,5,6,7,13
gs-290,5,6,7,8
gs-291,5,6,7,8
gs-292,5,6,7,8
gs-293,5,6,7,8
gs-294,5,6,7,8
gs-295,5,6,7,8
gs-296,5,6,7,8
gs-297,5,6,7,8
gs-298,5,6,7,8
gs-299,5,6,7,8
gs-3,5,6,7,8
gs-30,5,6,7,13
gs-300,5,6,7,8
gs-301,5,6,7,8
gs-302,5,6,7,8
gs-303,5,6,7,8
gs-304,5,6,7,8
gs-305,5,6,7,13
gs-306,5,6,7,13
gs-307,5,6,7,13
gs-308,5,6,7,13
gs-309,5,6,7,13
gs-31,5,6,7,13
gs-310,5,6,7,13
gs-311,5,6,7,13
gs-312,5,6,7,13
gs-313,5,6,7,8
gs-314,5,6,7,8
gs-315,5,6,7,8
gs-316,5,6,7,8
gs-317,5,6,7,8
gs-318,5,6,7,8
gs-319,5,6,7,8
gs-32,5,6,7,13
gs-320,5,6,7,8
gs-321,5,6,12,13
gs-322,5,6,12,13
gs-323,5,6,12,13
gs-324,5,6,12,13
gs-325,5,6,12,13
gs-326,5,6,12,13
gs-327,5,6,12,13
gs-328,5,6,12,13
gs-329,5,6,12,13
gs-33,5,6,7,8
gs-330,5,6,12,13
gs-331,5,6,12,13
gs-332,5,6,12,13
gs-333,5,6,12,13
gs-334,5,6,12,13
gs-335,5,6,12,13
gs-336,5,6,12,13
gs-337,5,6,12,13
gs-338,5,6,12,13
gs-339,5,6,12,13
gs-34,5,6,7,8
gs-340,5,6,12,13
gs-341,5,6,12,13
gs-342,5,6,12,13
gs-343,5,6,12,13
gs-344,5,6,12,13
gs-345,5,6,12,18
gs-346,5,6,12,18
gs-347,5,6,12,18
gs-348,5,6,12,18
gs-349,5,6,12,18
gs-35,5,6,7,8
gs-350,5,6,12,18
gs-351,5,6,12,18
gs-352,5,6,12,18
gs-353,5,6,12,13
gs-354,5,6,12,13
gs-355,5,6,12,13
gs-356,5,6,12,13
gs-357,5,6,12,13
gs-358,5,6,12,13
gs-359,5,6,12,13
gs-36,5,6,7,8
gs-360,5,6,12,13
gs-361,5,6,7,8
gs-362,5,6,7,8
gs-363,5,6,7,8
gs-364,5,6,7,8
gs-365,5,6,7,8
gs-366,5,6,7,8
gs-367,5,6,7,8
gs-368,5,6,7,8
gs-369,5,6,7,8
gs-37,5,6,7,8
gs-370,5,6,7,8
gs-371,5,6,7,8
gs-372,5,6,7,8
gs-373,5,6,7,8
gs-374,5,6,7,8
gs-375,5,6,7,8
gs-376,5,6,7,8
gs-377,5,6,7,8
gs-378,5,6,7,8
gs-379,5,6,7,8
gs-38,5,6,7,8
gs-380,5,6,7,8
gs-381,5,6,7,8
gs-382,5,6,7,8
gs-383,5,6,7,8
gs-384,5,6,7,8
gs-385,5,6,7,13
gs-386,5,6,7,13
gs-387,5,6,7,13
gs-388,5,6,7,13
gs-389,5,6,7,13
gs-39,5,6,7,8
gs-390,5,6,7,13
gs-391,5,6,7,13
gs-392,5,6,7,13
gs-393,5,6,7,8
gs-394,5,6,7,8
gs-395,5,6,7,8
gs-396,5,6,7,8
gs-397,5,6,7,8
gs-398,5,6,7,8
gs-399,5,6,7,8
gs-4,5,6,7,8
gs-40,5,6,7,8
gs-400,5,6,7,8
gs-401,5,6,7,8
gs-402,5,6,7,8
gs-403,5,6,7,8
gs-404,5,6,7,8
gs-405,5,6,7,8
gs-406,5,6,7,8
gs-407,5,6,7,8
gs-408,5,6,7,8
gs-409,5,6,7,8
gs-41,5,6,7,8
gs-410,5,6,7,8
gs-411,5,6,7,8
gs-412,5,6,7,8
gs-413,5,6,7,8
gs-414,5,6,7,8
gs-415,5,6,7,8
gs-416,5,6,7,8
gs-417,5,6,7,8
gs-418,5,6,7,8
gs-419,5,6,7,8
gs-42,5,6,7,8
gs-420,5,6,7,8
gs-421,5,6,7,8
gs-422,5,6,7,8
gs-423,5,6,7,8
gs-424,5,6,7,8
gs-425,5,6,7,13
gs-426,5,6,7,13
gs-427,5,6,7,13
gs-428,5,6,7,13
gs-429,5,6,7,13
gs-43,5,6,7,8
gs-430,5,6,7,13
gs-431,5,6,7,13
gs-432,5,6,7,13
gs-433,5,6,7,8
gs-434,5,6,7,8
gs-435,5,6,7,8
gs-436,5,6,7,8
gs-437,5,6,7,8
gs-438,5,6,7,8
gs-439,5,6,7,8
gs-44,5,6,7,8
gs-440,5,6,7,8
gs-441,5,6,7,8
gs-442,5,6,7,8
gs-443,5,6,7,8
gs-444,5,6,7,8
gs-445,5,6,7,8
gs-446,5,6,7,8
gs-447,5,6,7,8
gs-448,5,6,7,8
gs-449,5,6,7,8
gs-45,5,6,7,8
gs-450,5,6,7,8
gs-451,5,6,7,8
gs-452,5,6,7,8
gs-453,5,6,7,8
gs-454,5,6,7,8
gs-455,5,6,7,8
gs-456,5,6,7,8
gs-457,5,6,7,8
gs-458,5,6,7,8
gs-459,5,6,7,8
